datetime,id,value
1604313900,2,0.008
1604313900,3,0.0
1604313900,5,0.017
1604313900,6,0.001
1604313900,9,0.006
1604314800,2,0.052
1604314800,3,0.0
1604314800,5,0.012
1604314800,6,0.0
1604314800,9,0.021
1604315700,2,0.037
1604315700,3,0.0
1604315700,5,0.006
1604315700,6,0.0
1604315700,9,0.049
1604316600,2,0.007
1604316600,3,0.0
1604316600,5,0.029
1604316600,6,0.0
1604316600,9,0.002
1604317500,2,0.171
1604317500,3,0.0
1604317500,5,0.018
1604317500,6,0.0
1604317500,9,0.032
1604318400,2,0.196
1604318400,3,0.0
1604318400,5,0.026
1604318400,6,0.0
1604318400,9,0.0
1604319300,2,0.185
1604319300,3,0.0
1604319300,5,0.014
1604319300,6,0.0
1604319300,9,0.021
1604320200,2,0.188
1604320200,3,0.0
1604320200,5,0.028
1604320200,6,0.0
1604320200,9,0.044
1604321100,2,0.194
1604321100,3,0.0
1604321100,5,0.014
1604321100,6,0.0
1604321100,9,0.005
1604322000,2,0.052
1604322000,3,0.0
1604322000,5,0.014
1604322000,6,0.0
1604322000,9,0.032
1604322900,2,0.014
1604322900,3,0.0
1604322900,5,0.026
1604322900,6,0.0
1604322900,9,0.0
1604323800,2,0.022
1604323800,3,0.0
1604323800,5,0.044
1604323800,6,0.0
1604323800,9,0.02
1604324700,2,0.013
1604324700,3,0.0
1604324700,5,0.021
1604324700,6,0.0
1604324700,9,0.05
1604325600,2,0.012
1604325600,3,0.0
1604325600,5,0.026
1604325600,6,0.0
1604325600,9,0.006
1604326500,2,0.022
1604326500,3,0.0
1604326500,5,0.048
1604326500,6,0.0
1604326500,9,0.039
1604327400,2,0.016
1604327400,3,0.0
1604327400,5,0.037
1604327400,6,0.0
1604327400,9,0.001
1604328300,2,0.008
1604328300,3,0.0
1604328300,5,0.046
1604328300,6,0.0
1604328300,9,0.043
1604329200,2,0.022
1604329200,3,0.0
1604329200,5,0.046
1604329200,6,0.0
1604329200,9,0.046
1604330100,2,0.02
1604330100,3,0.0
1604330100,5,0.048
1604330100,6,0.0
1604330100,9,0.021
1604331000,2,0.008
1604331000,3,0.0
1604331000,5,0.029
1604331000,6,0.0
1604331000,9,0.015
1604331900,2,0.018
1604331900,3,0.0
1604331900,5,0.035
1604331900,6,0.0
1604331900,9,0.02
1604332800,2,0.024
1604332800,3,0.0
1604332800,5,0.187
1604332800,6,0.0
1604332800,9,0.062
1604333700,2,0.039
1604333700,3,0.0
1604333700,5,0.041
1604333700,6,0.0
1604333700,9,0.028
1604334600,2,0.043
1604334600,3,0.0
1604334600,5,0.023
1604334600,6,0.0
1604334600,9,0.047
1604335500,2,0.055
1604335500,3,0.0
1604335500,5,0.034
1604335500,6,0.0
1604335500,9,0.019
1604336400,2,0.036
1604336400,3,0.0
1604336400,5,0.049
1604336400,6,0.0
1604336400,9,0.081
1604337300,2,0.044
1604337300,3,0.0
1604337300,5,0.032
1604337300,6,0.0
1604337300,9,0.024
1604338200,2,0.05
1604338200,3,0.0
1604338200,5,0.028
1604338200,6,0.0
1604338200,9,0.042
1604339100,2,0.035
1604339100,3,0.0
1604339100,5,0.039
1604339100,6,0.0
1604339100,9,0.0
1604340000,2,0.045
1604340000,3,0.0
1604340000,5,0.031
1604340000,6,0.0
1604340000,9,0.053
1604340900,2,0.052
1604340900,3,0.0
1604340900,5,0.031
1604340900,6,0.0
1604340900,9,0.02
1604341800,2,0.043
1604341800,3,0.0
1604341800,5,0.028
1604341800,6,0.0
1604341800,9,0.034
1604342700,2,0.041
1604342700,3,0.0
1604342700,5,0.036
1604342700,6,0.0
1604342700,9,0.0
1604343600,2,0.052
1604343600,3,0.0
1604343600,5,0.011
1604343600,6,0.0
1604343600,9,0.046
1604344500,2,0.046
1604344500,3,0.0
1604344500,5,0.013
1604344500,6,0.001
1604344500,9,0.027
1604345400,2,0.039
1604345400,3,0.0
1604345400,5,0.034
1604345400,6,0.002
1604345400,9,0.035
1604346300,2,0.053
1604346300,3,0.0
1604346300,5,0.031
1604346300,6,0.001
1604346300,9,0.0
1604347200,2,0.048
1604347200,3,0.0
1604347200,5,0.01
1604347200,6,0.003
1604347200,9,0.041
1604348100,2,0.038
1604348100,3,0.0
1604348100,5,0.01
1604348100,6,0.003
1604348100,9,0.033
1604349000,2,0.057
1604349000,3,0.0
1604349000,5,0.04
1604349000,6,0.004
1604349000,9,0.029
1604349900,2,0.045
1604349900,3,0.0
1604349900,5,0.023
1604349900,6,0.003
1604349900,9,0.005
1604350800,2,0.048
1604350800,3,0.0
1604350800,5,0.013
1604350800,6,0.004
1604350800,9,0.026
1604351700,2,0.055
1604351700,3,0.0
1604351700,5,0.019
1604351700,6,0.005
1604351700,9,0.048
1604352600,2,0.038
1604352600,3,0.0
1604352600,5,0.039
1604352600,6,0.005
1604352600,9,0.018
1604353500,2,0.054
1604353500,3,0.0
1604353500,5,0.069
1604353500,6,0.005
1604353500,9,0.016
1604354400,2,0.05
1604354400,3,0.0
1604354400,5,0.599
1604354400,6,0.009
1604354400,9,0.01
1604355300,2,0.019
1604355300,3,0.0
1604355300,5,0.06
1604355300,6,0.005
1604355300,9,0.063
1604356200,2,0.031
1604356200,3,0.0
1604356200,5,0.028
1604356200,6,0.0
1604356200,9,0.001
1604357100,2,0.023
1604357100,3,0.035
1604357100,5,0.033
1604357100,6,0.0
1604357100,9,0.034
1604358000,2,0.041
1604358000,3,0.037
